SystemID ,n_code,b_code,name,mc_url,sector,Trade ,Price
2357,  ,532467,Hazoor Multi Projects Ltd.,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/hazoormultiprojects/HMP, MEDIA & ENTERTAINMENT ,Bse Trading,0.54
2358, UBL ,532478,United Breweries Ltd.,http://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/unitedbreweries/UB02, BREWERIES & DISTILLERIES ,Both Trading,1197.9
2359, ISMTLTD ,532479,ISMT Ltd.,http://www.moneycontrol.com/india/stockpricequote/steelrolling/ismt/ISM01, STEEL - ROLLING ,Both Trading,7.35
2360, ALBK ,532480,Allahabad Bank,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/allahabadbank/AB15, BANKS - PUBLIC SECTOR ,Both Trading,45.85
2361, GRANULES ,532482,Granules India Ltd.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/granulesindia/GI25, PHARMACEUTICALS ,Both Trading,107
2362, NOIDATOLL ,532481,Noida Toll Bridge Company Ltd.,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/noidatollbridgecompany/NTB, CONSTRUCTION & CONTRACTING - CIVIL ,Both Trading,9.8
2363,  ,532485,Balmer Lawrie Investment Ltd.,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/balmerlawrieinvestment/BLI01, FINANCE - INVESTMENTS ,Bse Trading,439.45
2364, POKARNA ,532486,Pokarna Ltd.,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/pokarna/PL06, CERAMICS & GRANITE ,Both Trading,159
2365, CANBK ,532483,Canara Bank,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/canarabank/CB06, BANKS - PUBLIC SECTOR ,Both Trading,295.75
2366, DIVISLAB ,532488,Divis Laboratories Ltd.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/divislaboratories/DL03, PHARMACEUTICALS ,Both Trading,1115.45
2367, ECEIND ,532491,ECE Industries Ltd.,http://www.moneycontrol.com/india/stockpricequote/electricals/eceindustries/ECE, ELECTRICALS ,Nse Trading,321.7
2368, ASTRAMICRO ,532493,Astra Microwave Products Ltd.,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/astramicrowaveproducts/AMP01, TELECOMMUNICATIONS - EQUIPMENT ,Both Trading,97.8
2369, RADICO ,532497,Radico Khaitan Ltd.,http://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/radicokhaitan/RK01, BREWERIES & DISTILLERIES ,Both Trading,442.05
2370, SHRIRAMCIT ,532498,Shriram City Union Finance Ltd.,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/shriramcityunionfinance/SCU, FINANCE - LEASING & HIRE PURCHASE ,Both Trading,2012.45
2371, MARUTI ,532500,Maruti Suzuki India Ltd.,http://www.moneycontrol.com/india/stockpricequote/autocarsjeeps/marutisuzukiindia/MS24, AUTO - CARS & JEEPS ,Both Trading,9156.4
2372, RAJPALAYAM ,532503,Rajapalayam Mills Ltd.,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/rajapalayammills/RM06, TEXTILES - SPINNING - COTTON BLENDED ,Bse Trading,908.2
2373, NAVINFLUOR ,532504,Navin Fluorine International Ltd.,http://www.moneycontrol.com/india/stockpricequote/chemicals/navinfluorineinternational/NFI, CHEMICALS ,Both Trading,689
2374, UCOBANK ,532505,UCO Bank,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/ucobank/UCO, BANKS - PUBLIC SECTOR ,Both Trading,20.1
2375, JSL ,532508,Jindal Stainless Ltd.,http://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/jindalstainless/JSL01, STEEL - MEDIUM & SMALL ,Both Trading,63.95
2376, SUPRAJIT ,532509,Suprajit Engineering Ltd.,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/suprajitengineering/SE15, AUTO ANCILLARIES ,Both Trading,244.85
2377, IGL ,532514,Indraprastha Gas Ltd.,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/indraprasthagas/IG04, OIL DRILLING AND EXPLORATION ,Both Trading,303.45
2378, TVSELECT ,532513,TVS Electronics Ltd.,http://www.moneycontrol.com/india/stockpricequote/computershardware/tvselectronics/TVS02, COMPUTERS - HARDWARE ,Both Trading,372.6
2379, BAGFILMS ,532507,BAG Films and Media Ltd.,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/bagfilmsmedia/BAG, MEDIA & ENTERTAINMENT ,Both Trading,5.19
2380, TVTODAY ,532515,TV Today Network Ltd.,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/tvtodaynetwork/TVT, MEDIA & ENTERTAINMENT ,Both Trading,437
2381, EXCELCROP ,532511,Excel Crop Care Ltd.,http://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/excelcropcare/ECC03, PESTICIDES & AGRO CHEMICALS ,Both Trading,4531
2382,  ,532518,Florence Investech Ltd.,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/florenceinvestech/JKA02, FINANCE - INVESTMENTS ,Bse Trading,1774.95
2383, PETRONET ,532522,Petronet LNG Ltd.,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/petronetlng/PLN, OIL DRILLING AND EXPLORATION ,Both Trading,229.55
2384, PTC ,532524,PTC India Ltd.,http://www.moneycontrol.com/india/stockpricequote/trading/ptcindia/PTC02, TRADING ,Both Trading,84.75
2385, PALREDTEC ,532521,Palred Technologies Ltd.,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/palredtechnologies/FS05, COMPUTERS - SOFTWARE MEDIUM & SMALL ,Both Trading,46.45
2386, BIOCON ,532523,Biocon Ltd.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/biocon/BL03, PHARMACEUTICALS ,Both Trading,570.15
2387, RKFORGE ,532527,Ramkrishna Forgings Ltd.,http://www.moneycontrol.com/india/stockpricequote/castingsforgings/ramkrishnaforgings/RF17, CASTINGS & FORGINGS ,Both Trading,667.1
2388, MAHABANK ,532525,Bank of Maharashtra,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankmaharashtra/BM05, BANKS - PUBLIC SECTOR ,Both Trading,13.34
2389, DATAMATICS ,532528,Datamatics Global Services Ltd.,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/datamaticsglobalservices/DGS01, COMPUTERS - SOFTWARE MEDIUM & SMALL ,Both Trading,103.55
2390, JPASSOCIAT ,532532,Jaiprakash Associates Ltd.,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/jaiprakashassociates/JA02, INFRASTRUCTURE - GENERAL ,Both Trading,14.19
2391, STAR ,532531,Strides Shasun Ltd.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/stridesshasun/SA10, PHARMACEUTICALS ,Both Trading,424.3
2392, MINDAIND ,532539,Minda Industries Ltd.,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/mindaindustries/MI4, AUTO ANCILLARIES ,Both Trading,415.2
2393, TCS ,532540,Tata Consultancy Services Ltd.,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/tataconsultancyservices/TCS, COMPUTERS - SOFTWARE ,Both Trading,1974.55
